Hotel ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Pinar Del Rio,CU,72.9,scattered clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
1,Santiago Del Estero,AR,75.74,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
2,Felanitx,ES,79.32,few clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
4,Bealanana,MG,76.51,broken clouds,-14.55,48.7333,Le Delta
6,Chuy,UY,65.43,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
7,Milas,TR,79.95,scattered clouds,37.3164,27.7839,Milashan Hotel
8,Hermanus,ZA,72.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Santa Cruz De La Palma,ES,78.13,few clouds,28.6835,-17.7642,H10 Taburiente Playa
14,Bengkulu,ID,78.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
21,Cape Town,ZA,71.28,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
24,Navalmoral De La Mata,ES,78.96,clear sky,39.8916,-5.5406,Hotel Moya S A
27,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
31,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
34,Khash,IR,74.68,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
35,Peniche,PT,77.29,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
39,Miravci,MK,75.02,few clouds,41.3078,22.435,Vila Mar-Mar
49,Quiindy,PY,67.12,clear sky,-25.9667,-57.2667,Rancho de Rosa Rodriguez Villaverde
50,Khandbari,NP,70.68,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
52,San Cristobal,VE,66.38,overcast clouds,7.7669,-72.225,Pirineos
55,Laguna,US,74.79,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
58,Narasimharajapura,IN,74.53,scattered clouds,13.6167,75.5167,Sri Lakshmikanth Hotel and Lodging
61,Sambava,MG,76.21,scattered clouds,-14.2667,50.1667,Melrose
63,Saint-Philippe,RE,77.11,few clouds,-21.3585,55.7679,Le four à pain
64,Port Alfred,ZA,75.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
