City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Pinar Del Rio,CU,22.4175,-83.6981,72.9,91,35,4.97,scattered clouds
1,Santiago Del Estero,AR,-27.7951,-64.2615,75.74,26,0,13.67,clear sky
2,Felanitx,ES,39.4696,3.1483,79.32,54,18,9.24,few clouds
3,Jamestown,US,42.097,-79.2353,44.19,66,100,5.75,overcast clouds
4,Bealanana,MG,-14.55,48.7333,76.51,39,57,14.83,broken clouds
5,Warrington,GB,53.3925,-2.5802,60.8,72,40,14.97,scattered clouds
6,Chuy,UY,-33.6971,-53.4616,65.43,59,54,14.92,broken clouds
7,Milas,TR,37.3164,27.7839,79.95,26,40,8.05,scattered clouds
8,Hermanus,ZA,-34.4187,19.2345,72.81,67,77,11.07,broken clouds
9,Santa Cruz De La Palma,ES,28.6835,-17.7642,78.13,69,20,16.11,few clouds
10,Ayagoz,KZ,47.9714,80.4392,62.64,24,1,15.79,clear sky
11,Macau,MO,22.2006,113.5461,82.2,78,20,8.05,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,19.57,broken clouds
13,Victoria,HK,22.2855,114.1577,84.33,75,10,8.01,clear sky
14,Bengkulu,ID,-3.8004,102.2655,78.31,76,100,2.26,overcast clouds
15,Ilulissat,GL,69.2167,-51.1,26.62,86,75,4.61,broken clouds
16,Narsaq,GL,60.9167,-46.05,28.62,71,15,7.72,few clouds
17,Male,MV,4.1748,73.5089,84.15,74,75,13.8,broken clouds
18,Sorland,NO,67.667,12.6934,48.61,70,98,17.22,overcast clouds
19,Hithadhoo,MV,-0.6,73.0833,81.79,75,7,14.65,clear sky
20,Ondjiva,AO,-17.0667,15.7333,98.78,7,1,9.57,clear sky
21,Cape Town,ZA,-33.9258,18.4232,71.28,53,0,16.11,clear sky
22,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,70,79,16.06,broken clouds
23,The Valley,AI,18.217,-63.0578,84.09,78,40,9.22,scattered clouds
24,Navalmoral De La Mata,ES,39.8916,-5.5406,78.96,30,10,8.52,clear sky
25,Adrar,MR,20.5022,-10.0711,94.3,17,8,3.56,clear sky
26,Omboue,GA,-1.5746,9.2618,83.73,63,100,7.29,light rain
27,East London,ZA,-33.0153,27.9116,77.94,57,0,14.97,clear sky
28,Tutoia,BR,-2.7619,-42.2744,82.62,69,59,11.68,broken clouds
29,Ushuaia,AR,-54.8,-68.3,38.86,81,75,3.44,light intensity drizzle
30,Mehamn,NO,71.0357,27.8492,44.55,70,100,9.22,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,79.09,47,0,9.22,clear sky
32,Ostrovnoy,RU,68.0531,39.5131,49.78,87,100,25.34,overcast clouds
33,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,4.59,snow
34,Khash,IR,28.2211,61.2158,74.68,3,0,17.38,clear sky
35,Peniche,PT,39.3558,-9.3811,77.29,72,54,9.1,broken clouds
36,Bilma,NE,18.6853,12.9164,95.97,13,6,6.13,clear sky
37,Busselton,AU,-33.65,115.3333,55.13,79,3,5.84,clear sky
38,Puquio,PE,-14.7,-74.1333,53.24,43,0,4.45,clear sky
39,Miravci,MK,41.3078,22.435,75.02,26,13,2.33,few clouds
40,Kachiry,KZ,53.0675,76.1036,63.79,33,100,6.96,overcast clouds
41,Margate,GB,51.3813,1.3862,61.7,66,0,5.99,clear sky
42,Georgetown,MY,5.4112,100.3354,83.89,80,20,8.05,few clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,56.08,67,40,14.97,scattered clouds
44,Qaanaaq,GL,77.484,-69.3632,4.55,70,27,10.13,scattered clouds
45,Tall Kayf,TR,37.0833,41.0667,86.34,24,40,11.12,scattered clouds
46,Marfino,RU,55.7028,37.3822,59.16,59,20,15.66,few clouds
47,Hamilton,US,39.1834,-84.5333,38.32,92,0,3.44,mist
48,Luderitz,NA,-26.6481,15.1594,72.61,56,0,11.81,clear sky
49,Quiindy,PY,-25.9667,-57.2667,67.12,62,0,10.0,clear sky
50,Khandbari,NP,27.3747,87.2039,70.68,88,62,0.22,broken clouds
51,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,20,8.05,few clouds
52,San Cristobal,VE,7.7669,-72.225,66.38,86,100,3.0,overcast clouds
53,Bata,GQ,1.8639,9.7658,80.38,74,82,8.19,broken clouds
54,Arlit,NE,18.7369,7.3853,97.05,13,26,3.33,scattered clouds
55,Laguna,US,38.421,-121.4238,74.79,73,0,4.61,clear sky
56,Vardo,NO,70.3705,31.1107,44.58,93,100,6.91,light intensity shower rain
57,Marrakesh,MA,31.6315,-8.0083,87.87,37,40,9.22,scattered clouds
58,Narasimharajapura,IN,13.6167,75.5167,74.53,80,49,4.97,scattered clouds
59,Castro,BR,-24.7911,-50.0119,60.33,66,0,4.21,clear sky
60,Mahibadhoo,MV,3.7833,72.9667,82.45,74,79,16.11,broken clouds
